Sales,Advertising,deltaa,profit
12,9,,
17.0704197703,17.5029160179,0.9447684464,3370.8343293085
20.5543239667,19.4710398718,0.1124454835,4219.1932028245
22.5591289026,19.6471332484,0.0090438609,4803.0253459482
23.6845512563,19.7138172129,0.0033940811,5133.9836556137
24.3115448085,19.7195742888,0.0002920325,5321.5060136606
24.6604392101,19.7248645342,0.0002682738,5425.6453096149
24.8550180141,19.7308545759,0.0003036797,5483.4199466411
24.9692761524,19.7786687217,0.0024233185,5512.9159735674
25.0334122761,19.7764518415,-0.0001120844,5532.3784986893
25.0686601782,19.7740430251,-0.0001218023,5543.1937509633
25.0890399589,19.7804024319,0.0003216038,5548.6717444672
25.1006752738,19.7818442613,7.28918118936262E-05,5552.0181560095
25.1078292282,19.7870472984,0.0002630208,5553.6440386234
25.1114752608,19.7841091196,-0.00014849,5555.0316662678
25.1126616654,19.7784876744,-0.0002841394,5555.9497321927
25.1155539686,19.7960145747,0.0008861598,5555.0647330986
25.1184659393,19.8033047132,0.0003682629,5555.2093104638
25.1199139622,19.8011176474,-0.0001104394,5555.8624239226
25.1170338649,19.7763893356,-0.0012488341,5557.4712259037
25.1145662769,19.7705633704,-0.000294592,5557.3135460264
25.1144073184,19.7800597386,0.0004803287,5556.3162216531
25.110831393,19.7553014564,-0.0012516788,5557.7192722605
25.107373341,19.7454348724,-0.0004994398,5557.668515056
25.1049764222,19.742239806,-0.0001618129,5557.2689460724
25.1034335047,19.7408188516,-7.19753362918982E-05,5556.9481662343
25.0978473092,19.7091744623,-0.0016029927,5558.4367465385
25.0945019068,19.707542867,-8.27835445307043E-05,5557.5962853394
25.0808537375,19.6288807406,-0.0039914731,5561.3680472017
25.0640262639,19.5673877469,-0.0031327815,5562.4691044691
25.0137359794,19.2974841391,-0.0137935432,5574.3723799003
24.9084094245,18.7973985725,-0.0259145474,5592.7829700918
24.7432473394,18.1293157608,-0.0355412377,5610.0426257519
24.3586396979,16.4146500792,-0.094579724,5666.126901451
23.6238742342,13.7545540318,-0.1620562141,5711.7068670904
21.9255340907,8.878760548,-0.354485756,5689.7841724202
